InstanceType,AZ
t3.medium,us-west-2d
t3.medium,us-west-2a
t3.medium,us-west-2b
t3.medium,us-west-2c
m5ad.2xlarge,us-west-2a
m5ad.2xlarge,us-west-2d
m5ad.2xlarge,us-west-2b
m5ad.2xlarge,us-west-2c
i3en.24xlarge,us-west-2b
i3en.24xlarge,us-west-2a
i3en.24xlarge,us-west-2c
t3.xlarge,us-west-2d
t3.xlarge,us-west-2a
t3.xlarge,us-west-2b
t3.xlarge,us-west-2c
m5.8xlarge,us-west-2c
m5.8xlarge,us-west-2b
m5.8xlarge,us-west-2d
m5.8xlarge,us-west-2a
c5.xlarge,us-west-2a
c5.xlarge,us-west-2b
c5.xlarge,us-west-2d
c5.xlarge,us-west-2c
m5dn.xlarge,us-west-2a
m5dn.xlarge,us-west-2b
m5dn.xlarge,us-west-2c
i3en.12xlarge,us-west-2a
i3en.12xlarge,us-west-2c
i3en.12xlarge,us-west-2b
t3a.small,us-west-2b
t3a.small,us-west-2d
t3a.small,us-west-2c
t3a.small,us-west-2a
t1.micro,us-west-2b
t1.micro,us-west-2c
t1.micro,us-west-2a
r5n.12xlarge,us-west-2b
r5n.12xlarge,us-west-2c
r5n.12xlarge,us-west-2a
r5a.16xlarge,us-west-2a
r5a.16xlarge,us-west-2c
r5a.16xlarge,us-west-2d
r5a.16xlarge,us-west-2b
m5n.12xlarge,us-west-2b
m5n.12xlarge,us-west-2a
m5n.12xlarge,us-west-2c
g4dn.12xlarge,us-west-2b
g4dn.12xlarge,us-west-2c
g4dn.12xlarge,us-west-2a
p2.8xlarge,us-west-2b
p2.8xlarge,us-west-2a
p2.8xlarge,us-west-2c
r5.24xlarge,us-west-2b
r5.24xlarge,us-west-2d
r5.24xlarge,us-west-2c
r5.24xlarge,us-west-2a
m5a.4xlarge,us-west-2c
m5a.4xlarge,us-west-2a
m5a.4xlarge,us-west-2b
m5a.4xlarge,us-west-2d
m5dn.12xlarge,us-west-2a
m5dn.12xlarge,us-west-2c
m5dn.12xlarge,us-west-2b
m5d.8xlarge,us-west-2d
m5d.8xlarge,us-west-2c
m5d.8xlarge,us-west-2a
m5d.8xlarge,us-west-2b
x1e.8xlarge,us-west-2b
x1e.8xlarge,us-west-2c
x1e.8xlarge,us-west-2a
t2.2xlarge,us-west-2c
t2.2xlarge,us-west-2a
t2.2xlarge,us-west-2b
m5.24xlarge,us-west-2d
m5.24xlarge,us-west-2c
m5.24xlarge,us-west-2b
m5.24xlarge,us-west-2a
z1d.2xlarge,us-west-2b
z1d.2xlarge,us-west-2a
z1d.2xlarge,us-west-2c
r5d.4xlarge,us-west-2c
r5d.4xlarge,us-west-2a
r5d.4xlarge,us-west-2d
r5d.4xlarge,us-west-2b
r5a.large,us-west-2a
r5a.large,us-west-2c
r5a.large,us-west-2b
r5a.large,us-west-2d
r5.4xlarge,us-west-2b
r5.4xlarge,us-west-2a
r5.4xlarge,us-west-2c
r5.4xlarge,us-west-2d
z1d.xlarge,us-west-2a
z1d.xlarge,us-west-2b
z1d.xlarge,us-west-2c
m5dn.2xlarge,us-west-2b
m5dn.2xlarge,us-west-2a
m5dn.2xlarge,us-west-2c
c4.large,us-west-2b
c4.large,us-west-2a
c4.large,us-west-2c
x1.16xlarge,us-west-2c
x1.16xlarge,us-west-2b
x1.16xlarge,us-west-2a
t3a.2xlarge,us-west-2c
t3a.2xlarge,us-west-2d
t3a.2xlarge,us-west-2b
t3a.2xlarge,us-west-2a
c5d.12xlarge,us-west-2d
c5d.12xlarge,us-west-2c
c5d.12xlarge,us-west-2a
c5d.12xlarge,us-west-2b
g3.16xlarge,us-west-2a
g3.16xlarge,us-west-2c
g3.16xlarge,us-west-2b
c3.8xlarge,us-west-2a
c3.8xlarge,us-west-2c
c3.8xlarge,us-west-2b
x1e.2xlarge,us-west-2a
x1e.2xlarge,us-west-2b
x1e.2xlarge,us-west-2c
m5d.large,us-west-2a
m5d.large,us-west-2b
m5d.large,us-west-2d
m5d.large,us-west-2c
m5a.16xlarge,us-west-2d
m5a.16xlarge,us-west-2a
m5a.16xlarge,us-west-2b
m5a.16xlarge,us-west-2c
g3.8xlarge,us-west-2c
g3.8xlarge,us-west-2a
g3.8xlarge,us-west-2b
c5d.24xlarge,us-west-2a
c5d.24xlarge,us-west-2b
c5d.24xlarge,us-west-2d
c5d.24xlarge,us-west-2c
x1e.32xlarge,us-west-2a
x1e.32xlarge,us-west-2b
x1e.32xlarge,us-west-2c
inf1.xlarge,us-west-2b
inf1.xlarge,us-west-2c
inf1.xlarge,us-west-2a
inf1.xlarge,us-west-2d
m5n.16xlarge,us-west-2b
m5n.16xlarge,us-west-2c
m5n.16xlarge,us-west-2a
t3.large,us-west-2d
t3.large,us-west-2c
t3.large,us-west-2a
t3.large,us-west-2b
c3.large,us-west-2a
c3.large,us-west-2c
c3.large,us-west-2b
r5dn.8xlarge,us-west-2c
r5dn.8xlarge,us-west-2b
r5dn.8xlarge,us-west-2a
c5d.2xlarge,us-west-2a
c5d.2xlarge,us-west-2b
c5d.2xlarge,us-west-2c
c5d.2xlarge,us-west-2d
m2.4xlarge,us-west-2a
m2.4xlarge,us-west-2c
m2.4xlarge,us-west-2b
m4.xlarge,us-west-2b
